center_id,days_since_join,total_events,total_quizzes,days_since_last_event,days_since_last_quiz,sum_component_time,avg_component_time,pct_completed,n_unique_components,mean_gap,max_gap,num_sessions,pct_weekend_events,activity_trend,n_unique_topics,topic_entropy,n_unique_chapters,chapter_entropy,component_entropy,n_courses,label,snapshot_date,batch_id_te,batch_dropout_rate_hist,batch_avg_events_hist
1262.0,489,134,134,29,296,6682.0,49.865671641791046,0.4626865671641791,12,0.0,0.0,0,0.0,0.0,4,0.2216827012479967,6,1.1607961846175432,2.2934450746974537,1,1,2021-08-04 13:27:08,0.7804878048780488,0.0,0.0
1262.0,489,15,15,29,329,571.0,38.06666666666667,0.2666666666666666,7,0.0,0.0,0,0.0,0.0,2,0.2449300267946353,4,0.857174043642079,1.71408754118701,1,1,2021-08-04 13:27:08,0.7804878048780488,1.0,134.0
1262.0,489,582,582,0,0,10832.0,18.61168384879725,0.493127147766323,12,0.0395869191049913,9.0,8,0.0343642611683848,-2.966407119021141,7,0.5542887234143861,16,1.3352065325502274,2.306898480804114,1,0,2021-08-04 13:27:08,0.7804878048780488,1.0,74.5
1262.0,489,7,7,29,487,400.0,57.142857142857146,0.8571428571428571,4,0.0,0.0,0,0.0,0.0,1,0.0,2,0.5982695885852573,1.351783994289646,1,0,2021-08-04 13:27:08,0.7804878048780488,0.6666666666666666,243.66666666666663
1262.0,489,26,26,29,359,1930.0,74.23076923076923,0.8076923076923077,5,0.0,0.0,0,0.0,0.0,1,0.0,2,0.4895518936229288,1.4868772357183702,1,1,2021-08-04 13:27:08,0.7804878048780488,0.5,184.5
1262.0,483,475,475,29,315,39581.0,83.32842105263158,0.7094736842105264,12,0.0,0.0,0,0.0,0.0,5,0.6270387638708647,8,1.251751366565356,2.23938477892186,1,1,2021-08-04 13:27:08,0.7804878048780488,0.6,152.8
1262.0,428,190,190,29,134,8509.0,44.78421052631579,0.5473684210526316,11,0.0,0.0,0,0.0,0.0,3,0.2784660060681238,7,0.9585031157614416,1.886097144585116,1,1,2021-08-04 13:27:08,0.7804878048780488,0.6666666666666666,206.5
1262.0,509,83,83,2,2,762.0,9.180722891566266,0.4939759036144578,10,0.2560975609756097,4.0,9,0.2891566265060241,-0.1596581196581196,2,0.2595204355303089,4,0.9352884061718378,2.140637914785457,1,0,2021-08-24 13:27:08,0.7804878048780488,0.7142857142857143,204.14285714285717
1262.0,509,1,1,18,18,37.0,37.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0.0,1,0.0,0.0,1,1,2021-08-24 13:27:08,0.7804878048780488,0.625,189.0
1262.0,529,11,11,0,5,685.0,62.27272727272727,1.0,4,0.0,0.0,0,1.0,2.999999999999999,2,0.5859526183035508,2,0.5859526183035508,1.294545165844896,1,1,2021-09-13 13:27:08,0.7804878048780488,0.6666666666666666,168.11111111111111
1262.0,529,110,110,4,7,1023.0,9.3,0.5272727272727272,10,0.1926605504587156,5.0,8,0.3454545454545454,0.3904273504273505,1,0.0,2,0.6825310472193316,2.169220486722032,1,0,2021-09-13 13:27:08,0.7804878048780488,0.7,152.4
1262.0,549,11,11,20,25,685.0,62.27272727272727,1.0,4,0.0,0.0,0,1.0,2.999999999999999,2,0.5859526183035508,2,0.5859526183035508,1.294545165844896,1,0,2021-10-03 13:27:08,0.7804878048780488,0.6363636363636364,148.54545454545453
1262.0,549,111,111,8,9,1281.0,11.54054054054054,0.5045045045045045,11,0.1363636363636363,8.0,4,0.1801801801801801,-0.3285714285714288,1,0.0,3,0.727778624348016,2.197162935762932,1,1,2021-10-03 13:27:08,0.7804878048780488,0.5833333333333334,137.08333333333334
1262.0,549,16,16,3,4,246.0,15.375,0.0,3,0.2666666666666666,3.0,2,0.0,1.2857142857142858,1,0.0,1,0.0,1.039720770839918,1,0,2021-10-03 13:27:08,0.7804878048780488,0.6153846153846154,135.07692307692307
1262.0,569,21,21,4,8,1389.0,66.14285714285714,1.0,4,0.05,1.0,1,0.3333333333333333,6.999999999999997,2,0.6829081047004717,2,0.6829081047004717,1.351783994289646,1,1,2021-10-23 13:27:08,0.7804878048780488,0.5714285714285714,126.57142857142856
1262.0,569,21,21,28,29,453.0,21.571428571428573,0.4285714285714285,8,0.0,0.0,0,0.0,0.999999999999999,1,0.0,3,0.8324075743474855,1.9795624449571367,1,1,2021-10-23 13:27:08,0.7804878048780488,0.6,119.53333333333332
1262.0,569,69,69,2,6,1371.0,19.869565217391305,0.3043478260869565,6,0.3529411764705882,14.0,5,0.0,0.2525998905309249,1,0.0,2,0.2213478091234047,1.5483056626917244,1,1,2021-10-23 13:27:08,0.7804878048780488,0.625,113.375
1262.0,508,12,12,17,18,245.0,20.416666666666668,0.5,8,0.0,0.0,0,0.0,0.0,2,0.4505612088663046,4,1.0751393240053737,1.9792045174343245,1,1,2021-10-23 13:27:08,0.7804878048780488,0.6470588235294118,110.76470588235294
1262.0,589,3,3,8,588,163.0,54.333333333333336,0.0,3,0.0,0.0,0,0.0,0.0,1,0.0,2,0.6365141682948128,1.0986122886681096,1,1,2021-11-12 13:27:08,0.7804878048780488,0.6666666666666666,105.27777777777776
1262.0,589,1,1,8,588,70.0,70.0,1.0,1,0.0,0.0,0,0.0,0.0,1,0.0,1,0.0,0.0,1,1,2021-11-12 13:27:08,0.7804878048780488,0.6842105263157895,99.89473684210526
1262.0,589,21,21,24,28,1389.0,66.14285714285714,1.0,4,0.05,1.0,1,0.3333333333333333,6.999999999999997,2,0.6829081047004717,2,0.6829081047004717,1.351783994289646,1,1,2021-11-12 13:27:08,0.7804878048780488,0.7,94.95
